# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  1.12179022e+01  9.99986840e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  2.68055760e+01  9.99228875e-01  0.00000000e+00  3.54009995e-02  0.00000000e+00  9.99228875e-01  1
2  2.64231343e+01  9.88936847e-01  0.00000000e+00  3.54009995e-02  0.00000000e+00  9.88936847e-01  1
3  1.99556287e+01  8.84052946e-01  0.00000000e+00  3.54009995e-02  0.00000000e+00  8.84052946e-01  1
4  2.35801374e+01  4.83873269e-01  0.00000000e+00  3.54009995e-02  0.00000000e+00  4.83873269e-01  1
5  9.48404985e+00  1.62160422e-01  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.62160422e-01  1
6  2.94405361e+00  4.93137212e-02  0.00000000e+00  3.54009995e-02  0.00000000e+00  4.93137212e-02  1
7  8.95317520e-01  1.49452316e-02  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.49452316e-02  1
8  2.73067708e-01  4.55011964e-03  0.00000000e+00  3.54009995e-02  0.00000000e+00  4.55011964e-03  1
9  8.36102751e-02  1.39106297e-03  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.39106297e-03  1
10  2.56823841e-02  4.26685448e-04  0.00000000e+00  3.54009995e-02  0.00000000e+00  4.26685448e-04  1
11  7.90890126e-03  1.31225594e-04  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.31225594e-04  1
12  2.44055734e-03  4.04449223e-05  0.00000000e+00  3.54009995e-02  0.00000000e+00  4.04449223e-05  1
13  7.54385056e-04  1.24876738e-05  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.24876738e-05  1
14  2.33509876e-04  3.86141101e-06  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.86141101e-06  1
15  7.23652383e-05  1.19552785e-06  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.19552785e-06  1
16  2.24487482e-05  3.70548556e-07  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.70548556e-07  1
17  6.96998358e-06  1.14958259e-07  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.14958259e-07  1
18  2.16571142e-06  3.56939373e-08  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.56939373e-08  1
19  6.73378519e-07  1.10908910e-08  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.10908910e-08  1
20  2.09495807e-07  3.44843582e-09  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.44843582e-09  1
21  6.52111479e-08  1.07283165e-09  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.07283165e-09  1
22  2.03084168e-08  3.33944507e-10  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.33944507e-10  1
23  6.32729627e-09  1.03995884e-10  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.03995884e-10  1
24  1.97212042e-09  3.24027604e-11  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.24027604e-11  1
25  6.14893440e-10  1.00975924e-11  0.00000000e+00  3.54009995e-02  0.00000000e+00  1.00975924e-11  1
26  1.91777878e-10  3.15024121e-12  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.15024121e-12  1
27  5.98256255e-11  9.81048827e-13  0.00000000e+00  3.54009995e-02  0.00000000e+00  9.81048827e-13  1
28  1.86719892e-11  3.08775306e-13  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.08775306e-13  1
29  5.83795036e-12  9.78582240e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  9.78582240e-14  1
30  1.83619879e-12  4.37581304e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  4.37581304e-14  1
31  6.13547842e-13  3.46620106e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.46620106e-14  1
32  2.97521629e-13  3.60845478e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.60845478e-14  1
33  2.69798411e-13  3.51256695e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.51256695e-14  1
34  2.67745690e-13  3.51891155e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.51891155e-14  1
35  3.03590365e-13  3.53532074e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.53532074e-14  1
36  2.85124910e-13  3.51318622e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.51318622e-14  1
37  2.94503529e-13  3.51106374e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.51106374e-14  1
38  2.63074644e-13  3.54842258e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.54842258e-14  1
39  2.88811193e-13  3.53658154e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.53658154e-14  1
40  2.84957414e-13  3.48081283e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.48081283e-14  1
41  2.72884684e-13  3.61015766e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.61015766e-14  1
42  2.74510506e-13  3.52120951e-14  0.00000000e+00  3.54009995e-02  0.00000000e+00  3.52120951e-14  1
