# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  1.12179022e+01  9.99986840e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  2.68023384e+01  9.99228791e-01  7.72481594e-05  3.54009995e-02  1.51343949e-02  9.99228791e-01  1
2  2.64246268e+01  9.88934272e-01  5.47867232e-05  3.54009995e-02  1.45009804e-03  9.88934272e-01  1
3  1.99579093e+01  8.84012261e-01  4.43520814e-05  3.54009995e-02  3.43808845e-04  8.84012261e-01  1
4  2.35762292e+01  4.83780466e-01  3.96059030e-05  3.54009995e-02  1.29527522e-04  4.83780466e-01  1
5  9.48092426e+00  1.62113226e-01  1.92402748e-05  3.54009995e-02  6.17548005e-05  1.62113226e-01  1
6  2.94293050e+00  4.92975024e-02  6.75504213e-06  3.54009995e-02  4.85142622e-05  4.92975024e-02  1
7  8.94965380e-01  1.49398148e-02  1.95480521e-06  3.54009995e-02  4.16104151e-05  1.49398148e-02  1
8  2.72954952e-01  4.54838025e-03  6.11683855e-07  3.54009995e-02  4.15549541e-05  4.54838025e-03  1
9  8.35748262e-02  1.39049477e-03  1.80040265e-07  3.54009995e-02  3.97634223e-05  1.39049477e-03  1
10  2.56709053e-02  4.26501357e-04  5.68885697e-08  3.54009995e-02  4.09693543e-05  4.26501357e-04  1
11  7.90519474e-03  1.31165278e-04  1.69088868e-08  3.54009995e-02  3.96624728e-05  1.31165278e-04  1
12  2.43934269e-03  4.04251845e-05  5.36777710e-09  3.54009995e-02  4.09291333e-05  4.04251845e-05  1
13  7.53984991e-04  1.24811873e-05  1.60593572e-09  3.54009995e-02  3.97277256e-05  1.24811873e-05  1
14  2.33378028e-04  3.85927647e-06  5.11122838e-10  3.54009995e-02  4.09519707e-05  3.85927647e-06  1
15  7.23213624e-05  1.19482613e-06  1.53632256e-10  3.54009995e-02  3.98087180e-05  1.19482613e-06  1
16  2.24342834e-05  3.70317292e-07  4.89734551e-11  3.54009995e-02  4.09879832e-05  3.70317292e-07  1
17  6.96515431e-06  1.14882366e-07  1.47706202e-11  3.54009995e-02  3.98864054e-05  1.14882366e-07  1
18  2.16412357e-06  3.56689535e-08  4.71345917e-12  3.54009995e-02  4.10285746e-05  3.56689535e-08  1
19  6.72848844e-07  1.10827156e-08  1.42523425e-12  3.54009995e-02  3.99572783e-05  1.10827156e-08  1
20  2.09322331e-07  3.44575122e-09  4.55170742e-13  3.54009995e-02  4.10703262e-05  3.44575122e-09  1
21  6.51534446e-08  1.07195592e-09  1.37901640e-13  3.54009995e-02  4.00207768e-05  1.07195592e-09  1
22  2.02895945e-08  3.33657637e-10  4.40694969e-14  3.54009995e-02  4.11112958e-05  3.33657637e-10  1
23  6.32106749e-09  1.03902747e-10  1.33719848e-14  3.54009995e-02  4.00769631e-05  1.03902747e-10  1
24  1.97009602e-09  3.23723861e-11  4.27544771e-15  3.54009995e-02  4.11485533e-05  3.23723861e-11  1
25  6.14233642e-10  1.00879605e-11  1.29921107e-15  3.54009995e-02  4.01333118e-05  1.00879605e-11  1
26  1.91574419e-10  3.14725199e-12  4.15584950e-16  3.54009995e-02  4.11961317e-05  3.14725199e-12  1
27  5.97660739e-11  9.80177266e-13  1.26472222e-16  3.54009995e-02  4.01849685e-05  9.80177266e-13  1
28  1.86492909e-11  3.08436100e-13  4.10873926e-17  3.54009995e-02  4.19183285e-05  3.08436100e-13  1
29  5.82337702e-12  9.76870504e-14  1.35261635e-17  3.54009995e-02  4.38540218e-05  9.76870504e-14  1
30  1.81824645e-12  4.32573225e-14  6.45378947e-18  3.54009995e-02  6.60659673e-05  4.32573225e-14  1
31  5.68736345e-13  3.64238089e-14  2.95815643e-18  3.54009995e-02  6.83851023e-05  3.64238089e-14  1
32  1.82159562e-13  3.58793618e-14  6.04058975e-18  3.54009995e-02  1.65841793e-04  3.58793618e-14  1
33  7.98312698e-14  3.53051073e-14  1.58269777e-18  3.54009995e-02  4.41116476e-05  3.53051073e-14  1
34  7.90251355e-14  3.48057942e-14  1.08108581e-18  3.54009995e-02  3.06212300e-05  3.48057942e-14  1
35  8.10527617e-14  3.52267298e-14  3.08185429e-18  3.54009995e-02  8.85442885e-05  3.52267298e-14  1
36  8.24086489e-14  3.41582097e-14  5.97534540e-18  3.54009995e-02  1.69625322e-04  3.41582097e-14  1
37  8.18784484e-14  3.63343655e-14  1.55432893e-18  3.54009995e-02  4.55038171e-05  3.63343655e-14  1
38  7.98013068e-14  3.67131413e-14  6.05123174e-18  3.54009995e-02  1.66542931e-04  3.67131413e-14  1
39  8.10625213e-14  3.60036917e-14  6.07071755e-18  3.54009995e-02  1.65355438e-04  3.60036917e-14  1
40  8.02791873e-14  3.64254754e-14  1.68516403e-18  3.54009995e-02  4.68053120e-05  3.64254754e-14  1
41  7.97760026e-14  3.55129120e-14  1.69272560e-18  3.54009995e-02  4.64709266e-05  3.55129120e-14  1
42  8.18049068e-14  3.61963139e-14  1.66130167e-18  3.54009995e-02  4.67802152e-05  3.61963139e-14  1
43  8.14039797e-14  3.51526862e-14  6.38227629e-18  3.54009995e-02  1.76323929e-04  3.51526862e-14  1
44  8.44233421e-14  3.61641283e-14  6.28110641e-18  3.54009995e-02  1.78680695e-04  3.61641283e-14  1
45  8.28369151e-14  3.60728906e-14  3.00694095e-18  3.54009995e-02  8.31470601e-05  3.60728906e-14  1
46  8.25123768e-14  3.42666231e-14  3.36740946e-18  3.54009995e-02  9.33501420e-05  3.42666231e-14  1
47  8.28073824e-14  3.54784600e-14  3.03222789e-18  3.54009995e-02  8.84892532e-05  3.54784600e-14  1
48  7.83765687e-14  3.44085966e-14  4.25218502e-18  3.54009995e-02  1.19852581e-04  3.44085966e-14  1
49  7.73276245e-14  3.53048393e-14  1.14247448e-18  3.54009995e-02  3.32031698e-05  3.53048393e-14  1
50  8.49481329e-14  3.61271438e-14  5.99710191e-18  3.54009995e-02  1.69866286e-04  3.61271438e-14  1
51  8.25580162e-14  3.49056165e-14  3.11839748e-18  3.54009995e-02  8.63172992e-05  3.49056165e-14  1
52  8.01400383e-14  3.67739576e-14  3.00476376e-18  3.54009995e-02  8.60825293e-05  3.67739576e-14  1
53  8.37381272e-14  3.55546185e-14  6.73357706e-18  3.54009995e-02  1.83107217e-04  3.55546185e-14  1
54  8.32695503e-14  3.48515102e-14  6.14151457e-18  3.54009995e-02  1.72734650e-04  3.48515102e-14  1
55  7.98083177e-14  3.39941443e-14  1.70004984e-18  3.54009995e-02  4.87798040e-05  3.39941443e-14  1
56  8.02155729e-14  3.57656108e-14  1.70010709e-18  3.54009995e-02  5.00117630e-05  3.57656108e-14  1
57  8.30627103e-14  3.53299125e-14  1.24649418e-17  3.54009995e-02  3.48517514e-04  3.53299125e-14  1
58  8.10565714e-14  3.69188087e-14  3.00892337e-18  3.54009995e-02  8.51664541e-05  3.69188087e-14  1
59  8.28109392e-14  3.51978276e-14  7.76833808e-19  3.54009995e-02  2.10416814e-05  3.51978276e-14  1
60  8.06873405e-14  3.54990497e-14  3.10095278e-18  3.54009995e-02  8.81006867e-05  3.54990497e-14  1
61  7.78443886e-14  3.70949577e-14  6.01409094e-18  3.54009995e-02  1.69415547e-04  3.70949577e-14  1
62  8.26199227e-14  3.54230617e-14  3.02098273e-18  3.54009995e-02  8.14391742e-05  3.54230617e-14  1
63  8.08288707e-14  3.46479632e-14  5.46231977e-19  3.54009995e-02  1.54202362e-05  3.46479632e-14  1
64  8.60878968e-14  3.67404611e-14  6.07653208e-18  3.54009995e-02  1.75379200e-04  3.67404611e-14  1
65  8.32010546e-14  3.43391955e-14  6.28190844e-18  3.54009995e-02  1.70980664e-04  3.43391955e-14  1
66  8.23533140e-14  3.52570665e-14  3.09579656e-18  3.54009995e-02  9.01534387e-05  3.52570665e-14  1
67  8.30721451e-14  3.62472358e-14  4.21877269e-18  3.54009995e-02  1.19657507e-04  3.62472358e-14  1
68  8.38977066e-14  3.49924408e-14  6.01250403e-18  3.54009995e-02  1.65874829e-04  3.49924408e-14  1
69  8.19341852e-14  3.60449388e-14  1.72040927e-18  3.54009995e-02  4.91651691e-05  3.60449388e-14  1
70  8.24668662e-14  3.52656325e-14  1.72684571e-18  3.54009995e-02  4.79081326e-05  3.52656325e-14  1
71  8.10041695e-14  3.59520837e-14  1.52538054e-18  3.54009995e-02  4.32540247e-05  3.59520837e-14  1
72  8.27626348e-14  3.48588530e-14  1.52325952e-18  3.54009995e-02  4.23691580e-05  3.48588530e-14  1
73  8.49693122e-14  3.55454692e-14  3.00411798e-18  3.54009995e-02  8.61794843e-05  3.55454692e-14  1
74  8.11226106e-14  3.57214872e-14  3.01705855e-18  3.54009995e-02  8.48788503e-05  3.57214872e-14  1
75  7.96135662e-14  3.61772909e-14  1.17819805e-17  3.54009995e-02  3.29828946e-04  3.61772909e-14  1
76  8.37963961e-14  3.59330325e-14  3.34930095e-18  3.54009995e-02  9.25802034e-05  3.59330325e-14  1
77  8.23681975e-14  3.54459390e-14  6.72499508e-18  3.54009995e-02  1.87153563e-04  3.54459390e-14  1
78  8.36902594e-14  3.45988883e-14  6.12511704e-18  3.54009995e-02  1.72801658e-04  3.45988883e-14  1
79  8.48039313e-14  3.53971136e-14  2.98968534e-18  3.54009995e-02  8.64098670e-05  3.53971136e-14  1
80  8.46061899e-14  3.48523102e-14  6.00200944e-18  3.54009995e-02  1.69562115e-04  3.48523102e-14  1
