# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  5.90364211e+01  9.99961631e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  6.41714515e+01  9.99708402e-01  6.36028103e-06  7.93846538e-02  7.32423735e-04  9.99708402e-01  1
2  6.79000394e+01  9.99116955e-01  1.21365935e-05  7.93846538e-02  5.14738468e-04  9.99116955e-01  1
3  7.05074413e+01  9.97960982e-01  2.30916212e-05  7.93846538e-02  5.72708540e-04  9.97960982e-01  1
4  6.34811985e+01  9.95728205e-01  2.70893456e-05  7.93846538e-02  4.51563346e-04  9.95728205e-01  1
5  6.51585940e+01  9.91463369e-01  2.77636615e-05  7.93846538e-02  3.28574062e-04  9.91463369e-01  1
6  5.87155352e+01  9.83449928e-01  2.79520842e-05  7.93846538e-02  2.42573009e-04  9.83449928e-01  1
7  5.99856395e+01  9.68734947e-01  2.80782515e-05  7.93846538e-02  1.83525003e-04  9.68734947e-01  1
8  6.18778169e+01  9.42630737e-01  2.83250425e-05  7.93846538e-02  1.43407988e-04  9.42630737e-01  1
9  6.40834774e+01  8.98746480e-01  2.83886640e-05  7.93846538e-02  1.15153864e-04  8.98746480e-01  1
10  6.54996556e+01  8.30735948e-01  2.84758561e-05  7.93846538e-02  9.66278500e-05  8.30735948e-01  1
11  6.43777959e+01  7.36585762e-01  2.84730804e-05  7.93846538e-02  8.54237710e-05  7.36585762e-01  1
12  5.95104332e+01  6.22930572e-01  2.85005963e-05  7.93846538e-02  8.08320339e-05  6.22930572e-01  1
13  5.14127767e+01  5.03774224e-01  2.84924880e-05  7.93846538e-02  8.21619272e-05  5.03774224e-01  1
14  4.19151002e+01  3.93235639e-01  2.85065018e-05  7.93846538e-02  8.95857928e-05  3.93235639e-01  1
15  3.27850428e+01  2.99608164e-01  2.85007281e-05  7.93846538e-02  1.03475477e-04  2.99608164e-01  1
16  2.49816294e+01  2.24908797e-01  2.85087334e-05  7.93846538e-02  1.25034809e-04  2.24908797e-01  1
17  1.87482436e+01  1.67421058e-01  2.85051339e-05  7.93846538e-02  1.55995501e-04  1.67421058e-01  1
18  1.39532806e+01  1.24073123e-01  2.85093180e-05  7.93846538e-02  1.99202612e-04  1.24073123e-01  1
19  1.03396455e+01  9.17482619e-02  2.85072816e-05  7.93846538e-02  2.58491212e-04  9.17482619e-02  1
20  7.64570459e+00  6.77809446e-02  2.85093845e-05  7.93846538e-02  3.39365012e-04  6.77809446e-02  1
21  5.64858296e+00  5.00614725e-02  2.85082949e-05  7.93846538e-02  4.49168544e-04  5.00614725e-02  1
22  4.17205792e+00  3.69764847e-02  2.85093534e-05  7.93846538e-02  5.98032057e-04  3.69764847e-02  1
23  3.08173438e+00  2.73187403e-02  2.85087829e-05  7.93846538e-02  7.99525943e-04  2.73187403e-02  1
24  2.27690233e+00  2.01894083e-02  2.85093222e-05  7.93846538e-02  1.07210111e-03  2.01894083e-02  1
25  1.68279354e+00  1.49262600e-02  2.85090252e-05  7.93846538e-02  1.44059313e-03  1.49262600e-02  1
26  1.24412922e+00  1.10385080e-02  2.85093032e-05  7.93846538e-02  1.93852230e-03  1.10385080e-02  1
27  9.20130416e-01  8.16662890e-03  2.85091486e-05  7.93846538e-02  2.61121034e-03  8.16662890e-03  1
28  6.80736277e-01  6.04340145e-03  2.85092932e-05  7.93846538e-02  3.51946026e-03  6.04340145e-03  1
29  5.03785063e-01  4.47405927e-03  2.85092125e-05  7.93846538e-02  4.74592140e-03  4.47405927e-03  1
30  3.72945098e-01  3.31275967e-03  2.85092883e-05  7.93846538e-02  6.40063980e-03  3.31275967e-03  1
31  2.76161365e-01  2.45408990e-03  2.85092461e-05  7.93846538e-02  8.63439963e-03  2.45408990e-03  1
32  2.04551887e-01  1.81808132e-03  2.85092860e-05  7.93846538e-02  1.16455597e-02  1.81808132e-03  1
33  1.51544859e-01  1.34782040e-03  2.85092638e-05  7.93846538e-02  1.57094712e-02  1.34782040e-03  1
34  1.12304736e-01  9.99158873e-04  2.85092849e-05  7.93846538e-02  2.11806487e-02  9.99158873e-04  1
35  8.32388054e-02  7.41558454e-04  2.85092733e-05  7.93846538e-02  2.85617827e-02  7.41558454e-04  1
36  6.17139601e-02  5.50395437e-04  2.85092844e-05  7.93846538e-02  3.84736032e-02  5.50395437e-04  1
37  4.57588213e-02  4.09520219e-04  2.85092783e-05  7.93846538e-02  5.18263193e-02  4.09520219e-04  1
38  3.39417650e-02  3.04964344e-04  2.85092842e-05  7.93846538e-02  6.96448137e-02  3.04964344e-04  1
39  2.51750702e-02  2.28506256e-04  2.85092810e-05  7.93846538e-02  9.35124905e-02  2.28506256e-04  0
40  1.86840900e-02  1.71946702e-04  2.85092841e-05  7.93846538e-02  1.24792201e-01  1.71946702e-04  0
41  1.38631797e-02  1.31634900e-04  2.85092824e-05  7.93846538e-02  1.65831529e-01  1.31634900e-04  0
42  1.02978664e-02  1.02301495e-04  2.85092841e-05  7.93846538e-02  2.16606970e-01  1.02301495e-04  0
43  7.64560807e-03  8.33096951e-05  2.85092832e-05  7.93846538e-02  2.78707558e-01  8.33096951e-05  0
44  5.69003347e-03  7.02239249e-05  2.85092841e-05  7.93846538e-02  3.42236989e-01  7.02239249e-05  0
45  4.23218870e-03  6.38683156e-05  2.85092836e-05  7.93846538e-02  4.06005299e-01  6.38683156e-05  0
46  3.16513492e-03  5.93928752e-05  2.85092841e-05  7.93846538e-02  4.46404523e-01  5.93928752e-05  0
47  2.36831482e-03  5.79803821e-05  2.85092838e-05  7.93846538e-02  4.80040358e-01  5.79803821e-05  0
48  1.79542878e-03  5.65027898e-05  2.85092841e-05  7.93846538e-02  4.91734204e-01  5.65027898e-05  0
49  1.36884800e-03  5.62791328e-05  2.85092840e-05  7.93846538e-02  5.04592692e-01  5.62791328e-05  0
50  1.07507191e-03  5.57292969e-05  2.85092841e-05  7.93846538e-02  5.06597866e-01  5.57292969e-05  0
51  8.59986757e-04  5.57495884e-05  2.85092840e-05  7.93846538e-02  5.11595775e-01  5.57495884e-05  0
52  7.24800214e-04  5.55212329e-05  2.85092841e-05  7.93846538e-02  5.11409578e-01  5.55212329e-05  0
53  6.28822244e-04  5.55730211e-05  2.85092841e-05  7.93846538e-02  5.13512857e-01  5.55730211e-05  0
54  5.76727296e-04  5.54694183e-05  2.85092841e-05  7.93846538e-02  5.13034344e-01  5.54694183e-05  0
55  5.39624357e-04  5.55099263e-05  2.85092841e-05  7.93846538e-02  5.13992509e-01  5.55099263e-05  0
56  5.22928987e-04  5.54596130e-05  2.85092841e-05  7.93846538e-02  5.13617447e-01  5.54596130e-05  0
57  5.16658849e-04  5.54855035e-05  2.85092841e-05  7.93846538e-02  5.14083378e-01  5.54855035e-05  0
58  5.16659081e-04  5.54598682e-05  2.85092841e-05  7.93846538e-02  5.13843511e-01  5.54598682e-05  0
59  5.16658873e-04  5.54751963e-05  2.85092841e-05  7.93846538e-02  5.14081013e-01  5.54751963e-05  0
60  5.16659003e-04  5.54617214e-05  2.85092841e-05  7.93846538e-02  5.13938977e-01  5.54617214e-05  0
61  5.16658889e-04  5.54704795e-05  2.85092841e-05  7.93846538e-02  5.14063836e-01  5.54704795e-05  0
62  5.16658962e-04  5.54632602e-05  2.85092841e-05  7.93846538e-02  5.13982676e-01  5.54632602e-05  0
63  5.16658899e-04  5.54681756e-05  2.85092841e-05  7.93846538e-02  5.14049574e-01  5.54681756e-05  0
64  5.16658940e-04  5.54642641e-05  2.85092841e-05  7.93846538e-02  5.14004023e-01  5.54642641e-05  0
65  5.16658905e-04  5.54669970e-05  2.85092841e-05  7.93846538e-02  5.14040271e-01  5.54669970e-05  0
66  5.16658928e-04  5.54648638e-05  2.85092841e-05  7.93846538e-02  5.14014945e-01  5.54648638e-05  0
67  5.16658909e-04  5.54663757e-05  2.85092841e-05  7.93846538e-02  5.14034713e-01  5.54663757e-05  0
68  5.16658921e-04  5.54652080e-05  2.85092841e-05  7.93846538e-02  5.14020702e-01  5.54652080e-05  0
69  5.16658911e-04  5.54660422e-05  2.85092841e-05  7.93846538e-02  5.14031524e-01  5.54660422e-05  0
70  5.16658918e-04  5.54654016e-05  2.85092841e-05  7.93846538e-02  5.14023793e-01  5.54654016e-05  0
71  5.16658912e-04  5.54658613e-05  2.85092841e-05  7.93846538e-02  5.14029730e-01  5.54658613e-05  0
72  5.16658916e-04  5.54655093e-05  2.85092841e-05  7.93846538e-02  5.14025470e-01  5.54655093e-05  0
73  5.16658913e-04  5.54657625e-05  2.85092841e-05  7.93846538e-02  5.14028731e-01  5.54657625e-05  0
74  5.16658915e-04  5.54655690e-05  2.85092841e-05  7.93846538e-02  5.14026385e-01  5.54655690e-05  0
75  5.16658913e-04  5.54657084e-05  2.85092841e-05  7.93846538e-02  5.14028178e-01  5.54657084e-05  0
76  5.16658914e-04  5.54656019e-05  2.85092841e-05  7.93846538e-02  5.14026887e-01  5.54656019e-05  0
77  5.16658913e-04  5.54656786e-05  2.85092841e-05  7.93846538e-02  5.14027873e-01  5.54656786e-05  0
78  5.16658914e-04  5.54656201e-05  2.85092841e-05  7.93846538e-02  5.14027162e-01  5.54656201e-05  0
79  5.16658913e-04  5.54656623e-05  2.85092841e-05  7.93846538e-02  5.14027705e-01  5.54656623e-05  0
80  5.16658914e-04  5.54656301e-05  2.85092841e-05  7.93846538e-02  5.14027313e-01  5.54656301e-05  0
81  5.16658913e-04  5.54656533e-05  2.85092841e-05  7.93846538e-02  5.14027612e-01  5.54656533e-05  0
82  5.16658914e-04  5.54656356e-05  2.85092841e-05  7.93846538e-02  5.14027397e-01  5.54656356e-05  0
83  5.16658913e-04  5.54656484e-05  2.85092841e-05  7.93846538e-02  5.14027561e-01  5.54656484e-05  0
84  5.16658914e-04  5.54656386e-05  2.85092841e-05  7.93846538e-02  5.14027442e-01  5.54656386e-05  0
85  5.16658913e-04  5.54656457e-05  2.85092841e-05  7.93846538e-02  5.14027533e-01  5.54656457e-05  0
86  5.16658914e-04  5.54656403e-05  2.85092841e-05  7.93846538e-02  5.14027468e-01  5.54656403e-05  0
87  5.16658913e-04  5.54656442e-05  2.85092841e-05  7.93846538e-02  5.14027517e-01  5.54656442e-05  0
88  5.16658914e-04  5.54656412e-05  2.85092841e-05  7.93846538e-02  5.14027481e-01  5.54656412e-05  0
89  5.16658913e-04  5.54656433e-05  2.85092841e-05  7.93846538e-02  5.14027509e-01  5.54656433e-05  0
90  5.16658913e-04  5.54656417e-05  2.85092841e-05  7.93846538e-02  5.14027489e-01  5.54656417e-05  0
91  5.16658913e-04  5.54656429e-05  2.85092841e-05  7.93846538e-02  5.14027504e-01  5.54656429e-05  0
92  5.16658913e-04  5.54656420e-05  2.85092841e-05  7.93846538e-02  5.14027493e-01  5.54656420e-05  0
93  5.16658913e-04  5.54656426e-05  2.85092841e-05  7.93846538e-02  5.14027502e-01  5.54656426e-05  0
94  5.16658913e-04  5.54656421e-05  2.85092841e-05  7.93846538e-02  5.14027496e-01  5.54656421e-05  0
95  5.16658913e-04  5.54656425e-05  2.85092841e-05  7.93846538e-02  5.14027500e-01  5.54656425e-05  0
96  5.16658913e-04  5.54656422e-05  2.85092841e-05  7.93846538e-02  5.14027497e-01  5.54656422e-05  0
97  5.16658913e-04  5.54656424e-05  2.85092841e-05  7.93846538e-02  5.14027499e-01  5.54656424e-05  0
98  5.16658913e-04  5.54656423e-05  2.85092841e-05  7.93846538e-02  5.14027498e-01  5.54656423e-05  0
99  5.16658913e-04  5.54656424e-05  2.85092841e-05  7.93846538e-02  5.14027499e-01  5.54656424e-05  0
100  5.16658913e-04  5.54656423e-05  2.85092841e-05  7.93846538e-02  5.14027498e-01  5.54656423e-05  0
