# iter  max_residual  sin_angle  delta_norm  eq5_lhs  eq5_rhs  eq5_angle  eq5_ok
0  5.90364211e+01  9.99961631e-01  -1.00000000e+00  0.00000000e+00  0.00000000e+00  -1.00000000e+00  0
1  6.41714534e+01  9.99708376e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.99708376e-01  1
2  6.78999095e+01  9.99116882e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.99116882e-01  1
3  7.05075988e+01  9.97960825e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.97960825e-01  1
4  6.34804240e+01  9.95727952e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.95727952e-01  1
5  6.51587794e+01  9.91463007e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.91463007e-01  1
6  5.87158541e+01  9.83449569e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.83449569e-01  1
7  5.99859927e+01  9.68734859e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.68734859e-01  1
8  6.18781116e+01  9.42631716e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.42631716e-01  1
9  6.40837040e+01  8.98749828e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  8.98749828e-01  1
10  6.54999213e+01  8.30743760e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  8.30743760e-01  1
11  6.43784171e+01  7.36599443e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  7.36599443e-01  1
12  5.95117216e+01  6.22950303e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  6.22950303e-01  1
13  5.14147183e+01  5.03797542e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  5.03797542e-01  1
14  4.19174306e+01  3.93260071e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  3.93260071e-01  1
15  3.27874069e+01  2.99630948e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  2.99630948e-01  1
16  2.49838193e+01  2.24929210e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  2.24929210e-01  1
17  1.87501385e+01  1.67438150e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  1.67438150e-01  1
18  1.39548735e+01  1.24087560e-01  0.00000000e+00  7.93846538e-02  0.00000000e+00  1.24087560e-01  1
19  1.03409448e+01  9.17597541e-02  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.17597541e-02  1
20  7.64675695e+00  6.77904883e-02  0.00000000e+00  7.93846538e-02  0.00000000e+00  6.77904883e-02  1
21  5.64942079e+00  5.00688155e-02  0.00000000e+00  7.93846538e-02  0.00000000e+00  5.00688155e-02  1
22  4.17272509e+00  3.69826030e-02  0.00000000e+00  7.93846538e-02  0.00000000e+00  3.69826030e-02  1
23  3.08225930e+00  2.73232817e-02  0.00000000e+00  7.93846538e-02  0.00000000e+00  2.73232817e-02  1
24  2.27731610e+00  2.01932624e-02  0.00000000e+00  7.93846538e-02  0.00000000e+00  2.01932624e-02  1
25  1.68311709e+00  1.49289765e-02  0.00000000e+00  7.93846538e-02  0.00000000e+00  1.49289765e-02  1
26  1.24438210e+00  1.10408932e-02  0.00000000e+00  7.93846538e-02  0.00000000e+00  1.10408932e-02  1
27  9.20327774e-01  8.16816186e-03  0.00000000e+00  7.93846538e-02  0.00000000e+00  8.16816186e-03  1
28  6.80888988e-01  6.04481891e-03  0.00000000e+00  7.93846538e-02  0.00000000e+00  6.04481891e-03  1
29  5.03904629e-01  4.47479435e-03  0.00000000e+00  7.93846538e-02  0.00000000e+00  4.47479435e-03  1
30  3.73036186e-01  3.31348937e-03  0.00000000e+00  7.93846538e-02  0.00000000e+00  3.31348937e-03  1
31  2.76233487e-01  2.45421706e-03  0.00000000e+00  7.93846538e-02  0.00000000e+00  2.45421706e-03  1
32  2.04605283e-01  1.81822605e-03  0.00000000e+00  7.93846538e-02  0.00000000e+00  1.81822605e-03  1
33  1.51588177e-01  1.34735938e-03  0.00000000e+00  7.93846538e-02  0.00000000e+00  1.34735938e-03  1
34  1.12334998e-01  9.98650124e-04  0.00000000e+00  7.93846538e-02  0.00000000e+00  9.98650124e-04  1
35  8.32645000e-02  7.40340970e-04  0.00000000e+00  7.93846538e-02  0.00000000e+00  7.40340970e-04  1
36  6.17296733e-02  5.48950725e-04  0.00000000e+00  7.93846538e-02  0.00000000e+00  5.48950725e-04  1
37  4.57732853e-02  4.07111315e-04  0.00000000e+00  7.93846538e-02  0.00000000e+00  4.07111315e-04  1
38  3.39476183e-02  3.01972004e-04  0.00000000e+00  7.93846538e-02  0.00000000e+00  3.01972004e-04  1
39  2.51814742e-02  2.24021507e-04  0.00000000e+00  7.93846538e-02  0.00000000e+00  2.24021507e-04  1
40  1.86820034e-02  1.66218143e-04  0.00000000e+00  7.93846538e-02  0.00000000e+00  1.66218143e-04  1
41  1.38622062e-02  1.23347191e-04  0.00000000e+00  7.93846538e-02  0.00000000e+00  1.23347191e-04  1
